State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Madhya Pradesh,REWA,Linseed,2001-02,Rabi,17422.0,Hectare,4219.0,Tonnes,0.2421650786362071
Uttar Pradesh,SULTANPUR,Masoor,2001-02,Rabi,4673.0,Hectare,5271.0,Tonnes,1.1279691846779372
Madhya Pradesh,BURHANPUR,Sannhamp,2013-14,Kharif,21.0,Hectare,33.0,Tonnes,1.5714285714285714
Punjab,LUDHIANA,Cotton(lint),2009-10,Kharif,2000.0,Hectare,8000.0,Bales,4.0
Uttarakhand,HARIDWAR,Potato,2008-09,Rabi,270.0,Hectare,2605.0,Tonnes,9.648148148148149
Odisha,JHARSUGUDA,Other Rabi pulses,2002-03,Rabi,570.0,Hectare,410.0,Tonnes,0.7192982456140351
Puducherry,PONDICHERRY,Rapeseed &Mustard,2001-02,Rabi,57.0,Hectare,467.0,Tonnes,8.192982456140351
Tamil Nadu,THIRUVALLUR,Dry chillies,2018-19,Whole Year,416.0,Hectare,628.0,Tonnes,1.5096153846153846
Uttar Pradesh,HARIDWAR,Barley,1997-98,Rabi,66.0,Hectare,158.0,Tonnes,2.393939393939394
Tripura,SEPAHIJALA,Cowpea(Lobia),2015-16,Kharif,117.0,Hectare,92.0,Tonnes,0.7863247863247863
Uttar Pradesh,BUDAUN,Arhar/Tur,2001-02,Kharif,1801.0,Hectare,1861.0,Tonnes,1.0333148250971682
Gujarat,KACHCHH,Guar seed,2001-02,Whole Year,105300.0,Hectare,30200.0,Tonnes,0.2867996201329534
Gujarat,KACHCHH,Sesamum,2013-14,Kharif,24191.0,Hectare,10871.0,Tonnes,0.4493820015708321
Assam,KARIMGANJ,Rapeseed &Mustard,1997-98,Rabi,652.0,Hectare,361.0,Tonnes,0.553680981595092
Uttar Pradesh,VARANASI,Maize,2007-08,Summer,36.0,Hectare,52.0,Tonnes,1.4444444444444444
Uttar Pradesh,BARABANKI,Maize,2001-02,Rabi,767.0,Hectare,1249.0,Tonnes,1.6284224250325945
Haryana,REWARI,Rice,2001-02,Kharif,686.0,Hectare,3000.0,Tonnes,4.373177842565598
Maharashtra,OSMANABAD,Safflower,2001-02,Rabi,35000.0,Hectare,10600.0,Tonnes,0.3028571428571429
Uttar Pradesh,MIRZAPUR,Maize,1997-98,Summer,4.0,Hectare,6.0,Tonnes,1.5
